zipcode,count
10025,4544
10027,2715
10026,2470
10031,2426
10024,2401
10002,2061
10029,2013
10009,1907
10128,1787
10032,1747
10033,1485
10030,1471
10035,1402
10023,1384
10034,1332
10028,1189
10013,1103
10003,1103
10011,1092
10014,1077
10040,940
10012,821
10036,782
10016,738
10019,720
10001,680
10039,661
10037,657
10075,612
10021,566
10038,510
10022,504
10010,464
10065,383
10007,346
10018,222
10006,140
10017,126
10004,73
10005,56
10069,42
10280,33
10282,31
10463,21
10162,16
10044,14
10000,6
10020,4
10112,2
12345,2
11217,1
10120,1
10119,1
10121,1
10041,1
10048,1
10118,1
10151,1
11249,1
100354,1
10174,1
10271,1
10111,1
